id,source,url,headline,abstract,img_url,publish_time
tmtpost_news|7976812,tmtpost_news,https://www.tmtpost.com/7976812.html,由豆包付费想到，AI到底会长成一门什么生意,AI 的未来，到底有多少利润率。,https://images.tmtpost.com/uploads/images/2026/05/d0ca1265a8c6eb9b9b2b425ca81a45f5_1777972248.png,2026-05-05 17:13:33
verge_news|dmcyOnF1aWNrUG9zdDo5MjM4ODM=,verge_news,https://www.theverge.com/ai-artificial-intelligence/923883/openai-mothballed-plans-to-spin-out-hardware-and-robotics-divisions,OpenAI mothballed plans to spin out hardware and robotics divisions.,,,2026-05-05 17:10:31
wscn_news|3771579,wscn_news,https://wallstreetcn.com/articles/3771579,闪迪长约规模持续扩大：27财年超三分之一出货量已锁定，目标直指 50%,闪迪已签署5份长期供应协议，预计覆盖27财年超三分之一的NAND出货量，CEO表示该比例有望突破50%。三季度签署的3份合同最低合同收入约达420亿美元，合同结构引入抵押品和违约赔偿机制，约束力显著强于传统供应协议。与此同时，闪迪HBF原型产线年内启动，完整系统方案预计2027年上半年落地。,https://wpimg-wscn.awtmt.com/116fb7d6-38c9-414e-bc02-b852e2b584fe.jpeg,2026-05-05 16:42:37
x_tweets|2051579838780072173,x_tweets,https://x.com/steipete/status/2051579838780072173,"🤖 Kept hitting @github rate limits across my agents. Shipped two things: – RepoBar got a JUICE METER – gitcrawl is now also a drop-in gh cache → symlink it as gh, reads served from local SQLite https://t.co/mtKoH8ybWR https://t.co/PtF5r3LGVL https://t.co/s9Swh7vyjU",,https://pbs.twimg.com/media/HHhbuXgWoAIl6y1.jpg,2026-05-05 16:28:44
x_tweets|2051575048348074450,x_tweets,https://x.com/steipete/status/2051575048348074450,"gog 0.16 is out. Google Workspace CLI for humans and agents. Lossless raw API output, sanitized Gmail reads, safer command profiles, Drive inventory, Docs tabs, Sheets tables, Gmail filter export, and official Docker images. https://t.co/o15a6lNZoE",,,2026-05-05 16:09:42
x_tweets|2051574104948383887,x_tweets,https://x.com/steipete/status/2051574104948383887,"RT @shakker: sorry @steipete, you said the words. we had no choice. 🦞🎬 https://t.co/rAOxybAmr0",,https://pbs.twimg.com/amplify_video_thumb/2051573648071229449/img/ZpJtfOVCdey5-EJp.jpg,2026-05-05 16:05:57
wscn_news|3771578,wscn_news,https://wallstreetcn.com/articles/3771578,鸿海4月营收创同期新高、同比增长近30%，AI服务器需求持续撑盘,鸿海2026年4月营收新台币8321亿元，年增29.74%，营收额创历年同期新高，AI云端产品拉货动能是核心驱动力。但环比增速从3月的34.90%降至3.53%，消费智能类别成唯一衰退项。公司预计第二季实现季度增长，同时提示全球政经局势存在不确定性。,https://wpimg-wscn.awtmt.com/22cb61c5-277b-45b1-8310-7238c2848ff2.png,2026-05-05 15:33:51
kr36_news|3795876358347782,kr36_news,https://36kr.com/p/3795876358347782,全球第二的机器狗公司，讲了一个不性感的故事,B端重场景这条路走通后，还能走更远。,"https://img.36krcdn.com/hsossms/20260505/v2_5abe1a19b3724c44849e51edc7647c55@6100851_oswg812757oswg1053oswg495_img_png?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-05-05 15:33:05
x_tweets|2051558517710946615,x_tweets,https://x.com/steipete/status/2051558517710946615,RT @GeoffreyHuntley: no longer using opus for code. very happy with 5.4/5.5.,,,2026-05-05 15:04:01
x_tweets|2051558104903430503,x_tweets,https://x.com/steipete/status/2051558104903430503,"RT @manan: I actually didn’t fully understand how effective this was till I submitted a bug. Clawsweeper looked at it, validated it, said n…",,,2026-05-05 15:02:22
kr36_news|3795878430759942,kr36_news,https://36kr.com/p/3795878430759942,多少打工人五一出游被景区AI拍成「犯罪嫌疑人」？“死亡角度配高糊画质，去水印还得收你20”,想你的风吹到了AI,https://img.36krcdn.com/hsossms/20260505/v2_1ff9d70ce27548e6b516e8e7912b4fe7@000000@ai_oswg397023oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-05 15:00:45
