id,source,url,headline,abstract,img_url,publish_time
x_tweets|2052246628174602272,x_tweets,https://x.com/sama/status/2052246628174602272,"RT @teortaxesTex: disgusting opinion, and equally as wishful as ""open source will win"", but props for openly grounding it in Christian intu…",,,2026-05-07 12:38:19
qbitai_news|413604,qbitai_news,https://www.qbitai.com/2026/05/413604.html,英伟达重新思考AI TCO：为何每Token成本才是唯一重要的指标,随着 AI 推理成为其核心工作负载，它们的主要产出已转变为以 Token 形式制造的智能,https://www.qbitai.com/wp-content/uploads/2026/05/89bce597fa79165760c7cac7e599dc15.png,2026-05-07 12:36:41
x_tweets|2052241166465384770,x_tweets,https://x.com/petergyang/status/2052241166465384770,lol there are 80 bids too https://t.co/6lcfkuS8fG,,https://pbs.twimg.com/media/HHsGbasbYAAfn6r.jpg,2026-05-07 12:16:37
x_tweets|2052236914330366115,x_tweets,https://x.com/adityaag/status/2052236914330366115,"Part me of is jelly seeing all the cool stuff happening in Texas in Prototown etc. But the other part of me is happy that Texas exists in America I wish CA could build more easily and learnt from Texas....but at the very least, our companies can move there to build if need be",,,2026-05-07 11:59:43
kr36_news|3798664146017281,kr36_news,https://36kr.com/p/3798664146017281,老股暗流：谁在从中国大模型公司悄悄套现？,谁在卖，谁在买，谁被困住了，谁提前走了？,https://img.36krcdn.com/hsossms/20260507/v2_c50cd31735c14125aa768864041a05df@000000@ai_oswg266856oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-07 11:56:50
kr36_news|3798665745183491,kr36_news,https://36kr.com/p/3798665745183491,镜中奇遇：AI时代人类的意识进化和组织重生,AI时代，人类需守住真心，完成意识跃迁。,https://img.36krcdn.com/hsossms/20260507/v2_6ceac39ae1c64646a179b5cfead92941@1743780481@ai_oswg797935oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-07 11:56:41
kr36_news|3798647966505992,kr36_news,https://36kr.com/p/3798647966505992,7亿，国内最大原生AGI Infra融资诞生，AI基础设施成为新的价值锚点,大厂林立，为何独立Infra反而“更大”了？,https://img.36krcdn.com/hsossms/20260507/v2_fc5a166d85024c709635e88b50d83c00@000000@ai_oswg287633oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-07 11:56:06
kr36_news|3798648114879492,kr36_news,https://36kr.com/p/3798648114879492,马斯克悬了？曾给奥尔特曼特斯拉席位，红颜知己证词反帮OpenAI,马斯克、OpenAI世纪庭审进入第二周。,https://img.36krcdn.com/hsossms/20260507/v2_3c054f57de974b09b61d96122075bd5c@000000@ai_oswg360753oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-07 11:55:49
wscn_news|3771712,wscn_news,https://wallstreetcn.com/articles/3771712,财报看中国：开启良性正循环,A股26年一季报表现亮眼，非金融净利润同比增速达10.6%，营收增速4.8%，均明显改善。广发证券认为上市公司已迈过现金流与利润表最困难阶段，从缩表转向扩张。预计全年非金融利润有望实现双位数正增长，支撑慢牛延续。重点关注消费电子、计算机、新能源、有色及低配置的出口链板块。,https://wpimg-wscn.awtmt.com/22c2993f-6116-43dc-a8b3-81eddb6442f1.jpeg,2026-05-07 11:47:23
x_tweets|2052232092805968050,x_tweets,https://x.com/garrytan/status/2052232092805968050,"RT @DanielLurie: The RESET Center has been open just over 24 hours, and already dozens of people using drugs in public have been brought of…",,,2026-05-07 11:40:34
