id,source,url,headline,abstract,img_url,publish_time
x_tweets|2052743175966736733,x_tweets,https://x.com/petergyang/status/2052743175966736733,RT @kbw: This is spot on... the era of mass adoption will come from simplification/normalization of the power that the coding focused tools…,,,2026-05-08 21:31:25
verge_news|dmcyOnF1aWNrUG9zdDo5MjY3MTA=,verge_news,https://www.theverge.com/tech/926710/sony-and-tsmc-are-teaming-up-on-image-sensors,Sony and TSMC are teaming up on image sensors.,,,2026-05-08 21:13:34
kr36_news|3800508365533954,kr36_news,https://36kr.com/p/3800508365533954,80%的钱流向AI，但谁来买单？,没人敢停的基建狂奔,https://img.36krcdn.com/hsossms/20260508/v2_14ed44f7db364c7ab60e9550fe187489@5888275@ai_oswg1072321oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 21:07:51
kr36_news|3800580452080647,kr36_news,https://36kr.com/p/3800580452080647,DeepSeek降价背后：Token生意在重新洗牌,未来的Token市场，会变成一门怎样的生意？,https://img.36krcdn.com/hsossms/20260508/v2_30c44ae5394f48fe9bb212043d6748a8@5888275@ai_oswg1017280oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 20:43:06
kr36_news|3800598058589441,kr36_news,https://36kr.com/p/3800598058589441,奥特曼最险一战：前女CTO当庭翻脸，OpenAI权斗彻底打到台前,这场Musk v. 奥特曼审判，正在把OpenAI最不想公开的内部裂痕一次性摊开：前CTO Mira Murati作证称奥特曼曾在模型安全审批上误导她，还长期制造高管间的「混乱与不信任」。核心看点不只是八卦，而是OpenAI到底是怎样从「非营利理想」一步步走到今天的权力与利益之争，这会直接影响外界对OpenAI、治理、AI安全和公司合法性的判断。,https://img.36krcdn.com/hsossms/20260508/v2_0806999edb60460eb6e2d1790c5fb55d@5888275@ai_oswg976858oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 20:29:42
kr36_news|3800598078430208,kr36_news,https://36kr.com/p/3800598078430208,AlphaEvolve交出一周年炸裂成绩单，AI自我改进不再科幻,AlphaEvolve一周年成绩单炸裂——改芯片、解数学、优化电网，Jeff Dean说「TPU大脑正在设计下一代TPU身体」——「AI造AI」不再是科幻设定，而是正在合拢的工程闭环。,https://img.36krcdn.com/hsossms/20260508/v2_bfa080dbd9294c178d044284f4ebdb79@5888275@ai_oswg1041747oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 20:29:25
tmtpost_news|7981455,tmtpost_news,https://www.tmtpost.com/7981455.html,独家对话灵御智能：百万小时真机数据，喂出具身智能的“云端大脑”,"""我们卖的不是机器人，是机器人即服务（RaaS）+ 操作即服务（MaaS）""。",https://images.tmtpost.com/uploads/images/2026/05/20260508200110111.jpg,2026-05-08 20:28:48
kr36_news|3800387554794757,kr36_news,https://36kr.com/p/3800387554794757,AGI 之路，可能从一开始就走错了,这张牌，第一次，真的被交到了普通家庭自己手里。,https://img.36krcdn.com/hsossms/20260508/v2_e7e4a4c89f6f4e93ab5ca90f7e0f8d02@5888275@ai_oswg1013950oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 20:18:46
tmtpost_news|7981423,tmtpost_news,https://www.tmtpost.com/7981423.html,灵珠AI日均token消耗破50亿：深度用户或成AI应用护城河,值得注意的是，灵珠AI的用户基数远小于大模型公司和互联网平台，这意味着其人均token消耗量处于相当高的水平。,https://images.tmtpost.com/uploads/images/2026/05/20260508192803480.jpeg,2026-05-08 19:58:12
kr36_news|3800513718377732,kr36_news,https://36kr.com/p/3800513718377732,0.001秒的革命：毫秒用算如何改写算力规则？,中国算力网络的升级之路,https://img.36krcdn.com/hsossms/20260508/v2_92bece0fcc2f42c988c9e1b6a9033763@5888275@ai_oswg1087181oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 19:48:18
wscn_news|3771855,wscn_news,https://wallstreetcn.com/articles/3771855,AI泡沫，会被什么戳破？,Gavekal Research报告指出，决定AI投资周期能否持续的关键是“维克塞尔利差”——即投资回报与融资成本之差。当前该指标仍比过去二十年的历史中位数高出70个基点，说明企业投资激励依然充足，远未到危险区。真正可能戳破泡沫的不是投资规模过大，而是回报无法覆盖成本。两大风险需警惕：通胀推高利率、电力瓶颈制约扩张。,https://wpimg-wscn.awtmt.com/b29de88a-ed1a-482a-aa16-b74d281054ff.png,2026-05-08 19:35:11
kr36_news|3800425451729665,kr36_news,https://36kr.com/p/3800425451729665,给机器人穿衣服，正在长成一门多元化生意,对话产业链三类玩家，我们发现了新信号。,https://img.36krcdn.com/hsossms/20260508/v2_9487dc89a50e495ab3e8f8bcb2cac7e8@5888275@ai_oswg1040904oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 19:18:17
qbitai_news|414428,qbitai_news,https://www.qbitai.com/2026/05/414428.html,持续领跑！商汤大装置稳居中国MaaS市场第一梯队,位列第二,https://www.qbitai.com/wp-content/uploads/2026/05/bcc5f6f5d35d31db604d70600e9a4f24-e1778238540536.png,2026-05-08 19:09:17
wscn_news|3771853,wscn_news,https://wallstreetcn.com/articles/3771853,关于智能体，四部门集体发声！,《智能体规范应用与创新发展实施意见》明确智能体为AI重要形态，核心部署包括：建设智能互联网与AIP协议，实现智能体间互认互通；划定用户与智能体决策边界，确保用户保留最终决定权；对敏感领域实行备案召回，低风险领域侧重行业自律，实施分类治理。同时围绕科研、制造、医疗等33个具体场景推动落地应用。,https://wpimg-wscn.awtmt.com/4d3bb137-51be-4a32-9aa3-0d89029beac7.jpeg,2026-05-08 19:01:40
kr36_news|3800261927164933,kr36_news,https://36kr.com/p/3800261927164933,Anthropic最新论文撬开大模型黑箱：隐藏动机发现率提升 4 倍以上,判断一个 AI 到底在想什么、知道什么、隐瞒什么。,https://img.36krcdn.com/hsossms/20260508/v2_ba8a6a4f26814dcf99af277491ba0e0f@5888275@ai_oswg987818oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 19:01:16
kr36_news|3800259790238215,kr36_news,https://36kr.com/p/3800259790238215,"为什么说""AI算力兑现元年""这个词有坑？——一文看懂算力从""政策信号""到""真实订单""的四道门槛",机构集体喊2026是算力兑现元年，但四道门只打开了两道半,https://img.36krcdn.com/hsossms/20260508/v2_aac5cfe822114e67ad661360a2719663@5888275@ai_oswg1098105oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 19:01:04
kr36_news|3800408468959745,kr36_news,https://36kr.com/p/3800408468959745,比宇树机器人更早上春晚的公司，要敲钟 IPO 了,原来比宇树机器人更早上的春晚的，另有其“人”,https://img.36krcdn.com/hsossms/20260508/v2_9654f391adbb4c57babe188d77e78e48@5888275@ai_oswg1080723oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 18:58:58
kr36_news|3800400647036165,kr36_news,https://36kr.com/p/3800400647036165,AI规则怪谈：ChatGPT代码里写着“永远不要讨论哥布林”,“永远不要讨论哥布林、小魔怪、浣熊、巨魔、食人魔、鸽子，以及其他动物或生物，除非与用户的需求绝对且毫无疑问地相关”,https://img.36krcdn.com/hsossms/20260508/v2_bb52b6157724467183341f6bc2d72579@5888275@ai_oswg1104265oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 18:58:39
wscn_news|3771849,wscn_news,https://wallstreetcn.com/articles/3771849,7250亿美元豪赌AI的代价：美股科技巨头现金流创逾十年新低,为抢占AI先机，亚马逊、Meta等四大科技巨头2026年合并自由现金流骤降至约40亿美元，创2014年以来新低。亚马逊全年净消耗百亿现金，Alphabet与Meta被迫密集发债、暂停回购。与此同时，表外项目可能让巨头隐藏真实财务风险，而硬件通胀正迫使其进一步加大开支。,https://wpimg-wscn.awtmt.com/0353553f-7939-4917-b2f4-4a0d29b1e3e0.jpeg,2026-05-08 18:23:43
kr36_news|3800208251564546,kr36_news,https://36kr.com/p/3800208251564546,人工智能安全观察：漫谈与AI新物种相处之道,当AI从工具蜕变为自主“新物种”，安全不能再靠“上锁”。本文提出培育AI的安全本能——通过基因、监督、进化三层机制，让行为边界内化为本能。唯有如此，才能跨越信任赤字，开启十万亿AI服务市场。,https://img.36krcdn.com/hsossms/20260508/v2_f472479efd2e42a09eb50eadbdec0a8e@5888275@ai_oswg1114727oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 18:02:10
tmtpost_news|7981241,tmtpost_news,https://www.tmtpost.com/7981241.html,豆包即将收费：不敢亮价，何谈竞争,这是通向AGI的必经之路。,https://images.tmtpost.com/uploads/images/2026/05/20260508175911905.png,2026-05-08 17:59:25
tmtpost_news|7980972,tmtpost_news,https://www.tmtpost.com/7980972.html,豆包终究要回归免费,收费是想圈住极客，但流量才是大生意。,https://images.tmtpost.com/uploads/images/2026/05/20260508170354985.png,2026-05-08 17:35:59
tmtpost_news|7981010,tmtpost_news,https://www.tmtpost.com/7981010.html,为什么你的AI，总是“一收费就变笨”？,难道真是被金钱蒙蔽了双眼？,https://images.tmtpost.com/uploads/images/2026/05/20260508171050795.png,2026-05-08 17:35:46
kr36_news|3800363527953672,kr36_news,https://36kr.com/p/3800363527953672,18岁高中生用AI挖出150万未知天体，首批ChatGPT原住民毕业,18岁高中生挖出约150万个未知天体，25岁博士生给1.4亿张星系图装上自然语言搜索……OpenAI发布了首届「ChatGPT Futures Class of 2026」，26位入选者来自从大一就用上ChatGPT的年轻群体，他们正在用AI改写「优秀年轻人」的定义。,https://img.36krcdn.com/hsossms/20260508/v2_08490281df3445c6be2129311960ba06@5888275@ai_oswg968961oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-08 17:22:11
kr36_news|3800420296028928,kr36_news,https://36kr.com/p/3800420296028928,反馈如何真正起效：以 AI 重塑职场反馈机制,全球生物制药企业益普生（Ipsen）正运用人工智能，助力管理者精进反馈能力，将这项核心管理技能，转化为全组织可落地、可推广的能力。,"https://img.36krcdn.com/hsossms/20260508/v2_026271e1057345f88793f55c3eb34df2@5620410_oswg101891oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-05-08 17:22:04
