id,source,url,headline,abstract,img_url,publish_time
tmtpost_news|7982776,tmtpost_news,https://www.tmtpost.com/7982776.html,DeepSeek塞进苹果本儿，分币不花实现“龙虾自由”,谢谢这位意大利黑客。,https://images.tmtpost.com/uploads/images/2026/05/20260510165352863.png,2026-05-10 16:54:31
kr36_news|3803113114787331,kr36_news,https://36kr.com/p/3803113114787331,3年5倍，百年玻璃厂重生,AI基建的神经纤维,https://img.36krcdn.com/hsossms/20260510/v2_de2ba43d44334dd4834aa3e16df1cfdb@576620215@ai_oswg1072945oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-10 15:28:17
x_tweets|2053374981824798751,x_tweets,https://x.com/steipete/status/2053374981824798751,Did teach codex to look for social signals when reviewing PRs. https://t.co/wb4wErZQqv,,https://pbs.twimg.com/media/HH8Nn6lXsAMx_HC.jpg,2026-05-10 15:22:00
x_tweets|2053371077477507240,x_tweets,https://x.com/swyx/status/2053371077477507240,@VivianBala we will finally show the world how it is done. https://t.co/LnSIUvhe4J,,,2026-05-10 15:06:29
x_tweets|2053370687931498603,x_tweets,https://x.com/swyx/status/2053370687931498603,"OK I'VE BEEN SO EXCITED i could barely keep this a secret all week and it's finally official MY HOME COUNTRY'S MINISTER OF FOREIGN AFFAIRS (equiv to Secretary of State) IS A HUGE NANOCLAW FAN (check @VivianBala, that's really him, not an intern) AND WILL BE KEYNOTING @AIDOTENGINEER SINGAPORE (with NanoClaw creator @Gavriel_Cohen right after) NEXT WEEK Usecases like his are what I have been hoping to promote with the international AIE partnerships and @agrimsingh and @SherryYanJiang crushed it with this one. governments waking up to AI and joining @aiDotEngineer: UK: Chief AI Officer Singapore: Cabinet Minister who's next??",,,2026-05-10 15:04:56
wscn_news|3771922,wscn_news,https://wallstreetcn.com/articles/3771922,吸引全球资本，亚洲新一轮“超级周期”正上演,亚洲股市在AI浪潮驱动下迎来新一轮上涨行情，摩根士丹利预计亚洲固定资产投资将从2025年11万亿美元升至2030年16万亿美元。核心驱动力涵盖AI基础设施、能源安全与国防开支三大主线。中国在AI芯片国产化、机器人出口及新能源领域优势显著。,https://wpimg-wscn.awtmt.com/4d88b9ef-9c5c-4516-a53d-bd5e6b012945.png,2026-05-10 14:55:00
x_tweets|2053364156510982164,x_tweets,https://x.com/swyx/status/2053364156510982164,wondering if @embirico has numbers on what % of codex users use this mode and how much it has gone up over the last month its a decent proxy for alignment/agent adoption https://t.co/rROmu1SezX,,https://pbs.twimg.com/media/HH8Dl9laYAArx1r.jpg,2026-05-10 14:38:59
kr36_news|3803073505369865,kr36_news,https://36kr.com/p/3803073505369865,图灵奖得主Sutton新作：用一个1967年的公式，解决流式强化学习一大缺陷,用于流式强化学习的意图更新,https://img.36krcdn.com/hsossms/20260510/v2_54d65851afa349b39a3022ea2f978c20@000000@ai_oswg321932oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-10 14:12:40
x_tweets|2053350706221142493,x_tweets,https://x.com/swyx/status/2053350706221142493,So many bots but honestly decent alignment,,,2026-05-10 13:45:32
x_tweets|2053350447390380400,x_tweets,https://x.com/sama/status/2053350447390380400,"RT @CollapseAnime: Anita is absolutely chopped now, Gamergate Stalag fiction enjoyers in ruins",,,2026-05-10 13:44:30
x_tweets|2053346553000079648,x_tweets,https://x.com/sama/status/2053346553000079648,RT @promptborzai: The reason why I can't be right-wing is I'm incapable of publicly crying 24/7,,,2026-05-10 13:29:02
x_tweets|2053345203872813110,x_tweets,https://x.com/sama/status/2053345203872813110,RT @LoliMossad: I'm always super suspicious of the anti lolicon anti pedo people. Way too often has it been revealed that a big anti lolico…,,,2026-05-10 13:23:40
x_tweets|2053345144649253315,x_tweets,https://x.com/sama/status/2053345144649253315,RT @promptborzai: The amusing thing about the brissident right is they co-opted the culture of people who are actually funny and then situa…,,,2026-05-10 13:23:26
x_tweets|2053343749581799890,x_tweets,https://x.com/sama/status/2053343749581799890,RT @barukalas: A part of William Wilberforce’s evangelical awakening was taking on a strict rule of life. His rule really is commendable. H…,,,2026-05-10 13:17:53
x_tweets|2053339543034528051,x_tweets,https://x.com/sama/status/2053339543034528051,RT @valuedrift: If you have spent time in the stock market or even read the business press you can see it's often true.,,,2026-05-10 13:01:10
x_tweets|2053338509780439305,x_tweets,https://x.com/sama/status/2053338509780439305,RT @johndrewmarkley: Roger Ebert tragically failed us by not doing a better job of convincing filmbros to just ignore video games.,,,2026-05-10 12:57:04
