id,source,url,headline,abstract,img_url,publish_time
qbitai_news|423213,qbitai_news,https://www.qbitai.com/2026/05/423213.html,什么！你说胡彦斌也在苦修Vibe Coding,Vibe Coding还是太权威了vibe,https://www.qbitai.com/wp-content/uploads/2026/05/efb19c55e338ccf590fb76a8a207dec2.jpeg,2026-05-24 12:53:32
x_tweets|2058409258140713366,x_tweets,https://x.com/garrytan/status/2058409258140713366,"RT @Twolfrecovery: It's astonishing that establishment Democrats are backing Becerra instead of @MattMahanSJ. Becerra has no new ideas, spe…",,,2026-05-24 12:46:25
x_tweets|2058409188100112834,x_tweets,https://x.com/garrytan/status/2058409188100112834,RT @fin465: talked to a YC company that scaled from $0 → $2m ARR in their first 6 months with their ENTIRE GTM built off going to conferenc…,,,2026-05-24 12:46:08
kr36_news|3822795128070149,kr36_news,https://36kr.com/p/3822795128070149,活过来的Codex，扛起了 OpenAI上市的希望,ChatGPT证明了OpenAI有用户，Codex要证明OpenAI有生意。,"https://img.36krcdn.com/hsossms/20260524/v2_f498f54d34864f7a8e41e5004f8a0d17@000000_oswg35498oswg940oswg399_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-05-24 12:44:23
x_tweets|2058381186884411473,x_tweets,https://x.com/steipete/status/2058381186884411473,"I always wanted a GitHub dashboard: See my repos, open Issues/PRs, what version I released last, how many commits since last release. So I built one for everyone. https://t.co/GWCP5wcrDQ https://t.co/DRvjenlVMi",,https://pbs.twimg.com/media/HJDWwR_WkAA3dji.jpg,2026-05-24 10:54:52
x_tweets|2058380417716125966,x_tweets,https://x.com/trq212/status/2058380417716125966,this is me cleaning up some leftover services for my old startup @OMMultiverse we have a huge legacy codebase and a community that still uses it but I haven't had any time to actually look into cost saving measures myself,,,2026-05-24 10:51:49
x_tweets|2058378310254793013,x_tweets,https://x.com/garrytan/status/2058378310254793013,Thinking Machines is impressive. In a couple hours I just fine tuned my own Qwen3.5-397B model this afternoon. Fast usable multimodal is also going to enable very mind-blowing personal AI.,,,2026-05-24 10:43:26
x_tweets|2058377974882210096,x_tweets,https://x.com/trq212/status/2058377974882210096,"every now and then I remember you can run the ""please save me money"" prompt and it will actually work https://t.co/5gXnHAwOE8",,https://pbs.twimg.com/media/HJDTXxiXIAAoAeF.jpg,2026-05-24 10:42:06
wscn_news|3772885,wscn_news,https://wallstreetcn.com/articles/3772885,下周重磅日程：“美联储最爱通胀指标”、中国PMI、长鑫科技上会、拼多多小米财报,宏观数据方面，“美联储最爱通胀指标”4月PCE、中国5月官方制造业PMI、欧洲多国CPI及京东CPI等密集出炉。事件层面，长鑫科技科创板IPO上会、Meta股东大会、华为AgentArts开源版发布。财报方面，拼多多、小米、快手、理想、小鹏、Marvell等披露业绩。,https://wpimg-wscn.awtmt.com/986a73d6-f79a-4ea8-8e56-862eb75124ce.jpeg,2026-05-24 10:17:15
x_tweets|2058361993405280528,x_tweets,https://x.com/sama/status/2058361993405280528,"RT @CollapseAnime: If you're poor you should go on every benefit you can, welfare, food stamps, disability, whatever you can.",,,2026-05-24 09:38:36
github_trending|presenton/presenton,github_trending,https://github.com/presenton/presenton,presenton/presenton,"Open-Source AI Presentation Generator and API (Gamma, Beautiful AI, Decktopus Alternative) Quickstart · Docs · Youtube · Discord Open-Source AI Presentation Generator and API (Gamma, Beautiful AI, Decktopus Alternative) ✨ Why Presenton No SaaS lock-in · No forced subscriptions · Full control over models and data What makes Presenton different? Use Fully self-hosted in Web through Docker Package Or Download Desktop App (Mac, Windows &amp; Linux) Works with OpenAI, Gemini, Vertex AI, Azure OpenAI, Amazon Bedrock, Fireworks, Together AI, Anthropic, LM Studio, Ollama, or custom models Comes with AI Presentation Generation API Fully open-source (Apache 2.0) Works with your own design/templates Fully editable PPTX export Tip Star us! A ⭐ shows your support and encourages us to keep building! 😇 🎛 Features 💻 Presenton Desktop Create AI-powered presentations using your own model provider (BYOK) or run everything locally on your own machine for full control and data privacy. Available Platforms Platform Architecture Package Download macOS Apple Silicon / Intel .dmg Download ↗ Windows x64 .exe Download ↗ Linux x64 .deb Download ↗ Deploy to Cloud Providers Presenton gives you complete control over your AI presentation workflow. Choose your models, customize your experience, and keep your data private. Custom Templates &amp;...",https://opengraph.githubassets.com/79698f7b33d70b06311af206f1a37e9086a83cac434c5d7087b4ce5c2b778edf/presenton/presenton,2026-05-24 09:38:30
github_trending|mukul975/Anthropic-Cybersecurity-Skills,github_trending,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,mukul975/Anthropic-Cybersecurity-Skills,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0 Anthropic Cybersecurity Skills The largest open-source cybersecurity skills library for AI agents 754 production-grade cybersecurity skills · 26 security domains · 5 framework mappings · 26+ AI platforms Get Started · What's Inside · Frameworks · Platforms · Contributing ⚠️ Community Project — This is an independent, community-created project. Not affiliated with Anthropic PBC. Give any AI agent the security skills of a senior analyst A junior analyst knows which Volatility3 plugin to run on a suspicious memory dump, which Sigma rules catch Kerberoasting, and how to scope a cloud breach across three providers. Your AI agent doesn't — unless you give it these skills. This repo contains 754 structured cybersecurity skills spanning 26 security domains, each following the agentskills.io open standard. Every skill is mapped to five industry frameworks — MITRE ATT&amp;CK, NIST CSF 2.0, MITRE ATLAS, MITRE D3FEND, and NIST AI RMF — making this the only open-source skills...",https://repository-images.githubusercontent.com/1166506614/38d9aad0-5e51-43d0-8567-21443768d1be,2026-05-24 09:38:30
github_trending|janestreet/magic-trace,github_trending,https://github.com/janestreet/magic-trace,janestreet/magic-trace,"magic-trace collects and displays high-resolution traces of what a process is doing magic-trace Overview magic-trace collects and displays high-resolution traces of what a process is doing. People have used it to: figure out why an application running in production handles some requests slowly while simultaneously handling a sea of uninteresting requests, look at what their code is actually doing instead of what they think it's doing, get a history of what their application was doing before it crashed, instead of a mere stacktrace at that final instant, ...and much more! magic-trace: has 2%-10% overhead, doesn't require application changes to use, traces every function call with ~40ns resolution, and renders a timeline of call stacks going back (a configurable) ~10ms. You use it like perf: point it to a process and off it goes. The key difference from perf is that instead of sampling call stacks throughout time, magic-trace uses Intel Processor Trace to snapshot a ring buffer of all control flow leading up to a chosen point in time[1]. Then, you can explore an interactive timeline of what happened. You can point magic-trace at a function such that when your application calls it, magic-trace takes a snapshot. Alternatively, attach it...",https://repository-images.githubusercontent.com/452433468/15ae30ee-7773-4fe0-a4ed-0d0d13751f70,2026-05-24 09:38:30
