id,source,url,headline,abstract,img_url,publish_time
tmtpost_news|8011957,tmtpost_news,https://www.tmtpost.com/8011957.html,供应链黑天鹅突袭、减持阴云笼罩，利通电子暴涨8倍后遇重挫,估值暴涨后，脆弱底色开始显露。,https://images.tmtpost.com/uploads/images/2026/06/20260602193439729.png,2026-06-02 19:44:37
kr36_news|3835882263393671,kr36_news,https://36kr.com/p/3835882263393671,苹果想用一副眼镜，改变你的脸,此时此刻，恰如彼时彼刻,https://img.36krcdn.com/hsossms/20260602/v2_413c7e19f80042edb819b98e3e76d4a9@5888275@ai_oswg956007oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 19:35:01
kr36_news|3835853608629384,kr36_news,https://36kr.com/p/3835853608629384,OpenAI今晚放大招，奥特曼亲自上阵，GPT-5.6本周反杀,群雄争霸，AGI桂冠花落谁家？OpenAI今晚放大招，奥特曼亲自上阵,https://img.36krcdn.com/hsossms/20260602/v2_b311ec69202541a1b298e4bf3fb3def9@5888275@ai_oswg1009732oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 19:32:02
kr36_news|3835542784827649,kr36_news,https://36kr.com/p/3835542784827649,Anthropic刚递表 IPO，但旗舰正在被全网疯狂吐槽,Opus 4.8性能不如GPT-5.5就算了，价格还比GPT-5.5贵！,https://img.36krcdn.com/hsossms/20260602/v2_21fb30bddb934bb68bc618c9311eeef9@5888275@ai_oswg1005501oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 19:24:14
kr36_news|3835808831993217,kr36_news,https://36kr.com/p/3835808831993217,220家美国独角兽，撑不住了,AI重写风投逻辑，前ChatGPT时代创业公司集体掉队。,https://img.36krcdn.com/hsossms/20260602/v2_c701fb9a4b77467fa6f3debcddef4329@5888275@ai_oswg1010420oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 19:17:47
kr36_news|3835836107191430,kr36_news,https://36kr.com/p/3835836107191430,AI开始“摸钱包”了,支付宝、度小满、京东纷纷入局AI支付,https://img.36krcdn.com/hsossms/20260602/v2_4955f1c3c05c4df8bf26aaca2938abba@5888275@ai_oswg874670oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 19:15:09
wscn_news|3773674,wscn_news,https://wallstreetcn.com/articles/3773674,基于CPO技术！英伟达Spectrum-X硅光交换机全面量产,与使用传统收发器的网络相比，Spectrum-X 以太网硅光技术可实现能效提升 5 倍，AI 正常运行时间提升 5 倍，部署时间快 1.3 倍。,https://wpimg-wscn.awtmt.com/a2d0acf6-1bc9-42df-9261-1ca35ff32fc3.png,2026-06-02 18:58:53
x_tweets|2061764025189347528,x_tweets,https://x.com/danshipper/status/2061764025189347528,RT @rileybrown: Wow Paper inside Codex is pretty wild. Especially with my youtube thumbnail skill. It can just pull thumbnails from YouTu…,,,2026-06-02 18:57:03
kr36_news|3835782264894595,kr36_news,https://36kr.com/p/3835782264894595,一月烧掉5亿美元才醒悟：把 Token 当 KPI是AI转型里最贵的坑，亚马逊连夜撤下排行榜,Token-Maxing这套叙事，正在把上游的增长神话，变成下游的成本事故。,https://img.36krcdn.com/hsossms/20260602/v2_d8a5f5a880c24231a2036340325cb87a@5888275@ai_oswg1030192oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 18:42:16
kr36_news|3835777925510535,kr36_news,https://36kr.com/p/3835777925510535,Anthropic冲刺IPO：Claude一个月烧掉客户5亿美元，却成了上市前最强广告,Claude 越聪明，企业越肉疼,https://img.36krcdn.com/hsossms/20260602/v2_7de12fb94636404690c4a61bf4e15477@5888275@ai_oswg933327oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 18:40:14
kr36_news|3835752331048065,kr36_news,https://36kr.com/p/3835752331048065,算法与 AI 生成内容带来的被动收听，为何属于无效注意力？,平台唯有修复音乐的社交内核，才能让播放数据回归真实商业价值,https://img.36krcdn.com/hsossms/20260602/v2_f3048b8c02f5419e9071525a61d9bd36@5888275@ai_oswg982686oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 18:29:25
tmtpost_news|8011510,tmtpost_news,https://www.tmtpost.com/8011510.html,Chatbot烧钱三年，还是AI时代的“新大陆”吗？,巨额投入后，Chatbot到了要证明自身商业可行性的时候。,https://images.tmtpost.com/uploads/images/2026/06/b3bd492f943009c36aa992fab1a267a4_1780393578.png,2026-06-02 18:26:19
kr36_news|3835545113556105,kr36_news,https://36kr.com/p/3835545113556105,纯血AI公司，市值天花板在哪？,从国家意志到资本情绪,https://img.36krcdn.com/hsossms/20260602/v2_7c2ed6fc3beb4e618dc51518e4e139e9@5888275@ai_oswg1160219oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 17:56:17
kr36_news|3835601406997641,kr36_news,https://36kr.com/p/3835601406997641,图灵奖得主Sutton新作：AI的下一步，是走向“生成认知”,世界本身就是它最好的模型,https://img.36krcdn.com/hsossms/20260602/v2_5eedffed1ea540ebb71a3a4a57e058f5@5888275@ai_oswg1023532oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 17:41:24
qbitai_news|427810,qbitai_news,https://www.qbitai.com/2026/06/427810.html,字节开源统一框架Bernini：给DiT配个“大模型军师”，AI视频编辑先理解再动手,AI视频编辑先理解再动手,https://www.qbitai.com/wp-content/uploads/2026/06/133c8430645b94686a8f02434402feae.png,2026-06-02 17:28:00
kr36_news|3835554116821253,kr36_news,https://36kr.com/p/3835554116821253,智谱深夜公告，大模型双子星抢滩 A 股,拟募资150亿元登陆科创板,https://img.36krcdn.com/hsossms/20260602/v2_f2980d83788a4c97934e6ef8950e8b72@5888275@ai_oswg973042oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 17:14:17
tmtpost_news|8010096,tmtpost_news,https://www.tmtpost.com/8010096.html,对话中关村AI北纬社区任闯：OPC创业者到底需要什么？,超级个体借助AI实现产出效率质变，与之对应，创业服务的逻辑也随之重构。,https://images.tmtpost.com/uploads/images/2026/06/20260601151920233.png,2026-06-02 17:12:45
kr36_news|3835540972549255,kr36_news,https://36kr.com/p/3835540972549255,SpaceX上市倒计时：马斯克最后的宏大叙事,2万亿美元估值是“信仰税”还是“星际文明的门票”？,https://img.36krcdn.com/hsossms/20260602/v2_a28b999562bc4b16ad1cad03c57ad209@5888275@ai_oswg968114oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 17:10:18
kr36_news|3835541445686657,kr36_news,https://36kr.com/p/3835541445686657,OpenRouter 的悖论,同一个人，做了全球最大的NFT交易所和AI路由器,https://img.36krcdn.com/hsossms/20260602/v2_8052bd881af2464bbbfd13bc058cc134@5888275@ai_oswg1070386oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-02 17:00:41
