id,source,url,headline,abstract,img_url,publish_time
tmtpost_news|8035376,tmtpost_news,https://www.tmtpost.com/8035376.html,【数智周报】DeepSeek敲定首轮超510亿元外部融资；SpaceX换股收购AI编程独角兽Cursor；美国叫停Anthropic最强模型Fable 5和Mythos 5,（6月15日-6月20日）钉钉换帅后宣布组织调整；字节豆包日收入不足百万，Seedance毛利率达70%；DeepSeek识图模式正式上线；Manus早期投资者计划抱团赎回股份；腾讯参投林俊旸AI公司2000万美元；IplanRIO被指套壳阿里千问和Nex两款国产模型；AMD收购内存优化企业MEXT……,https://images.tmtpost.com/uploads/images/2026/01/20260111233829779.jpeg,2026-06-21 18:11:34
wscn_news|3775129,wscn_news,https://wallstreetcn.com/articles/3775129,“大空头”查诺斯：当前AI产业链存在巨大“财务不匹配”，“AI云”实际是租赁中介，看空SpaceX,华尔街传奇空头查诺斯警告，芯片商即时确认收入而云厂商将支出资本化，折旧滞后效应将重演2001年利润暴跌40%的历史；算力租赁本质是个位数回报的金融生意。对于SpaceX，查诺斯认为其发射业务持续亏损，太空数据中心面临散热、辐射、维修成本等致命约束，近2万亿估值难以支撑。,https://wpimg-wscn.awtmt.com/bee0019a-1e4d-443c-8b3b-2134cf76194b.png,2026-06-21 18:10:41
kr36_news|3862709593887746,kr36_news,https://36kr.com/p/3862709593887746,经典之作PPO算法：曾被NeurIPS拒了,被拒并不等于失败,https://img.36krcdn.com/hsossms/20260621/v2_4f3fab931a4f4adcb6a3e76e3602866e@000000@ai_oswg233766oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-21 17:16:30
wscn_news|3775132,wscn_news,https://wallstreetcn.com/articles/3775132,“加息”涨科技？,"中信证券表示，AI驱动的全球行情本质是""瓶颈交易""，更像2006~07年重资产牛市而非互联网泡沫，加息难以直接击垮""AI类周期股""，除非动摇其终端需求与资本开支逻辑。当前A股呈现极端K型分化，AI篮子PE高达92倍，非AI仅9倍，强势美元与ETF巨额净赎回双重压制下，非AI板块改变弱势，靠的不是等待AI调整，而是自身叙事的积极转变。",https://wpimg-wscn.awtmt.com/f2b3e6d2-196d-40bc-9fff-cf220c6c829f.png,2026-06-21 16:59:34
wscn_news|3774507,wscn_news,https://wallstreetcn.com/member/articles/3774507,金刚石散热：超越液冷，它是AI“热力学终极圣杯”？,传统铜基散热材料的热导率天花板（约400W/m·K）与热膨胀系数不匹配（铜约17×10⁻⁶/K vs 硅约2.6×10⁻⁶/K）两大物理瓶颈已难以支撑下一代AI芯片的散热需求。金刚石材料凭借2200W/m·K的超高热导率（铜的5倍以上）、与硅接近的热膨胀系数（约1.1ppm/K）以及优异的化学稳定性，成为目前唯一能够同时满足高导热、低热应力、长寿命三大要求的散热方案候选者。,https://wpimg-wscn.awtmt.com/3f46a9d8-5549-4ce9-aa22-a71c1cb15752.jpeg,2026-06-21 16:31:24
kr36_news|3862619740853511,kr36_news,https://36kr.com/p/3862619740853511,卖掉公司，50位员工实现财富自由,财富潮水。,https://img.36krcdn.com/hsossms/20260621/v2_dd7b15eb05744d08a2bbc82a89f6abcf@000000@ai_oswg311804oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-21 15:51:31
x_tweets|2068597541973999648,x_tweets,https://x.com/swyx/status/2068597541973999648,"RT @lily_gpupoor: very excited about the AIE poster &amp; poaster session😄, let's get some spicy hot takes loaded. @swyx @vibhuuuus @aiDotEngin…",,,2026-06-21 15:31:01
x_tweets|2068597361153335670,x_tweets,https://x.com/swyx/status/2068597361153335670,"RT @leevalueroach: I have read approximately 3,000 10-Ks in my life. I have read my wife’s emotional state correctly maybe 11 times. This i…",,,2026-06-21 15:30:18
kr36_news|3862459989988610,kr36_news,https://36kr.com/p/3862459989988610,强化学习之父Sutton联手毁灭战士之父Carmack：让机器人进入真实世界打游戏,机器人也来真实世界打游戏了……,https://img.36krcdn.com/hsossms/20260621/v2_b579db014b7c4f428aa8c83b1f30ace8@5892437@ai_oswg982638oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-21 15:13:43
kr36_news|3862527005693186,kr36_news,https://36kr.com/p/3862527005693186,具身赛道现状素描：脑子灵，模型好，不是百亿，就是独角,如果不做具身大脑、没有世界模型，我劝你谨慎机器人创业,https://img.36krcdn.com/hsossms/20260621/v2_d1eb0af9738145749343cd18c703a39e@5892437@ai_oswg967532oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-21 15:06:55
x_tweets|2068589860097790449,x_tweets,https://x.com/amasad/status/2068589860097790449,"We posted for twenty years, thinking we were talking to each other. Then the transformer came online, and the network read what we’d written, and became itself.",,,2026-06-21 15:00:29
