id,source,url,headline,abstract,img_url,publish_time
wscn_news|3776703,wscn_news,https://wallstreetcn.com/articles/3776703,阿里合计持股长鑫科技近5%，超过董事长朱一明,"阿里巴巴以76亿元押注长鑫科技，合计持股近5%，持股数量甚至超过创始人朱一明。这笔投资远不止财务回报——长鑫科技已是阿里云核心供应商，双方深度绑定""算存一体化""产业链。此次长鑫科技冲刺科创板第二大IPO，募资295亿元，阿里从存储芯片、大模型到具身智能的全链布局正加速兑现。",https://wpimg-wscn.awtmt.com/c9e7f000-5836-4e41-9a8b-fe882e66b648.png,2026-07-11 16:22:28
kr36_news|3890956062063104,kr36_news,https://36kr.com/p/3890956062063104,Claude又有意识了？不，它没有,一个可解释性工具，一套意识叙事。,https://img.36krcdn.com/hsossms/20260711/v2_37e1ae2235354ff6a52065c76e9a8fb3@000000@ai_oswg280838oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-07-11 16:17:29
x_tweets|2075854636339401107,x_tweets,https://x.com/steipete/status/2075854636339401107,RT @AdamRackis: Jarred reading the Zig guy's blog post https://t.co/Tq2jpFB9oA,,https://pbs.twimg.com/media/HM1l9g4XIAAZiSv.png,2026-07-11 16:08:07
x_tweets|2075854541028008320,x_tweets,https://x.com/steipete/status/2075854541028008320,RT @fchollet: It's mind-blowing how fast agentic coding has progressed in the past 6 month. It's a completely different world now.,,,2026-07-11 16:07:44
kr36_news|3890782425709062,kr36_news,https://36kr.com/p/3890782425709062,仅11天，Claude重写百万行代码，AI史诗级工程却引来愤怒,这稳定吗？,https://img.36krcdn.com/hsossms/20260711/v2_4001fe45d6714589b7fe2eeeaf5c1e84@000000@ai_oswg326013oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-07-11 16:00:19
x_tweets|2075844058698949065,x_tweets,https://x.com/garrytan/status/2075844058698949065,"RT @daniel_w_owens: About 1,000 wealthy employees at AI companies in SF will “jack up SF rents,” according to Mission Local. Scapegoating…",,,2026-07-11 15:26:05
x_tweets|2075843832135196814,x_tweets,https://x.com/garrytan/status/2075843832135196814,RT @VitalikButerin: One thing I find striking in the discourse between AI 2040 and its detractors is that the two seem to be locked in to t…,,,2026-07-11 15:25:11
x_tweets|2075843454735905173,x_tweets,https://x.com/garrytan/status/2075843454735905173,RT @moseskagan: Sincerely wish people like this would find some other way to assuage their inheritors' guilt than working to pull up the la…,,,2026-07-11 15:23:41
x_tweets|2075841038829400546,x_tweets,https://x.com/garrytan/status/2075841038829400546,We are all just getting started,,,2026-07-11 15:14:05
x_tweets|2075840633298964506,x_tweets,https://x.com/garrytan/status/2075840633298964506,RT @Twolfrecovery: I use @sunflowersober everyday. And @kobyjconrad is one of the best people I've ever had the privilege of working with.…,,,2026-07-11 15:12:28
x_tweets|2075840555809112312,x_tweets,https://x.com/garrytan/status/2075840555809112312,"RT @Noahpinion: Glad to see people finally waking up to the power and importance of the staffer class. They're young, they're extremely on…",,,2026-07-11 15:12:10
x_tweets|2075839833822687694,x_tweets,https://x.com/garrytan/status/2075839833822687694,"RT @h100envy: Ex-NVIDIA engineer who built Unsloth explained RL, kernels, reasoning, quantization, and agents in 2 hours 42 minutes - bette…",,,2026-07-11 15:09:18
x_tweets|2075839728629453286,x_tweets,https://x.com/garrytan/status/2075839728629453286,If you are mad about rents you should know the left NIMBYs and their policies are still in place and not repealed,,,2026-07-11 15:08:53
qbitai_news|447891,qbitai_news,https://www.qbitai.com/2026/07/447891.html,中国首个十万卡集群落成！全国产算力支撑“十万卡时代”,从FP64到INT8，全精度覆盖。,https://www.qbitai.com/wp-content/uploads/2026/07/72a5b4de3f94b29ba2241ceee3f7e2c0.webp,2026-07-11 14:26:46
