id,source,url,headline,abstract,img_url,publish_time
verge_news|dmcyOnF1aWNrUG9zdDo5NzQxOTQ=,verge_news,https://www.theverge.com/tech/974194/google-ai-studio-is-skipping-the-standalone-android-app,Google AI Studio is skipping the standalone Android app.,,,2026-08-01 21:57:46
x_tweets|2083549144979792151,x_tweets,https://x.com/mattturck/status/2083549144979792151,"RT @davidneckstein: Across every dimension, July was the strongest quarter-opening month in @WeAreLegora's history. Net new ARR was 90% hi…",,,2026-08-01 21:43:21
x_tweets|2083534333428580501,x_tweets,https://x.com/thenanyu/status/2083534333428580501,"The exact thing that happens is the loop leaves a comment on the issue. and attaches all of the context. When you respond to the comment with additional details and unblock the process, the agent just continues working https://t.co/nlxeWm45Mr",,,2026-08-01 20:44:29
x_tweets|2083523980502475258,x_tweets,https://x.com/garrytan/status/2083523980502475258,"RT @tbpn: FULL INTERVIEW: @traestephens on Anduril's rapid defense manufacturing expansion, why America should consider mandatory civil ser…",,,2026-08-01 20:03:21
wscn_news|3778479,wscn_news,https://wallstreetcn.com/articles/3778479,单日7.2万亿韩元，外资周五净买入创纪录！华尔街：韩股资金面逆风已经消退,7月31日韩国KOSPI股市创下外资单日净买入7.2万亿韩元的历史新高，月度抛售压力大幅收窄，国内养老金亦由卖转买。同时监管提高单股杠杆ETF门槛以抑制波动。花旗据此认为资金面逆风已转为顺风，维持KOSPI指数10000点目标位不变。,https://wpimg-wscn.awtmt.com/448e13aa-bc36-475b-bcde-39370b7c31e9.png,2026-08-01 19:50:07
wscn_news|3778497,wscn_news,https://wallstreetcn.com/articles/3778497,OpenAI确认下一代模型Astra存在，以2000美元算力成本破解十项数学未解难题，正向监管层展示,OpenAI酝酿全新多智能体模型Astra，仅耗两千美元算力，即史无前例攻克十道尘封逾十年的顶尖数学难题。该模型现已赴华盛顿演示，即将迎来特朗普政府新版AI监管框架的首批大考。,https://wpimg-wscn.awtmt.com/content_default_7.jpg,2026-08-01 19:46:16
x_tweets|2083518443085799700,x_tweets,https://x.com/garrytan/status/2083518443085799700,RT @anna_y_zhang: the cool part of qm is the culture it comes from: yc shared a while back that their agent sessions are broadcast internal…,,,2026-08-01 19:41:21
x_tweets|2083517525086834918,x_tweets,https://x.com/garrytan/status/2083517525086834918,"RT @LucasR14g: So excited about the public release of QM. In my eyes it's not just ""OpenClaw optimized for work"" (though it is that too). E…",,,2026-08-01 19:37:42
x_tweets|2083517386410643957,x_tweets,https://x.com/garrytan/status/2083517386410643957,"RT @polynoamial: An internal version of Astra, @OpenAI’s next major model family, solved 10 major open problems in mathematics, quantum com…",,,2026-08-01 19:37:09
x_tweets|2083512602106167303,x_tweets,https://x.com/adityaag/status/2083512602106167303,"RT @levie: No idea if these specific numbers generalize across tasks, but directionally it’s clear that the harness is going to become the…",,,2026-08-01 19:18:08
qbitai_news|464781,qbitai_news,https://www.qbitai.com/2026/08/464781.html,「天线宝宝」机器人上门做保洁，200元/小时，纯·人工·智能,具身智能的τ（bushi）,https://www.qbitai.com/wp-content/uploads/2026/08/6f0f347869c392bce5d6f5e0a0711e1a.jpeg,2026-08-01 18:45:46
qbitai_news|464761,qbitai_news,https://www.qbitai.com/2026/08/464761.html,获奖之后，王虹最想感谢的人,&#8220;他真的给了我很大的帮助&#8221;,https://www.qbitai.com/wp-content/uploads/2026/08/88bd0d7391bc5536f0d92e6fe474e4b5.jpeg,2026-08-01 18:38:47
x_tweets|2083502573546263002,x_tweets,https://x.com/nikunj/status/2083502573546263002,What a wild dichotomous world we live in.. Models solving np hard problems while traditional enterprises still complaining about their ROI on token spend. Diffusion of models is all that we’ll be doing for the next few decades.,,,2026-08-01 18:38:17
qbitai_news|464713,qbitai_news,https://www.qbitai.com/2026/08/464713.html,奥特曼也逃不过刷TikTok上瘾，Sora背后最抓马的一段来了,狂刷3小时！,https://www.qbitai.com/wp-content/uploads/2026/08/9d8bde48e1f3c6855bd218fc24e32c1c.webp,2026-08-01 18:33:18
