id,source,url,headline,abstract,img_url,publish_time
scmp_news|Q29udGVudDoxOWYzN2FiMS1hNDI5LTQ0ZTQtYTIyNC02OWZjNTVhMGFlZWU=,scmp_news,https://www.scmp.com/news/people-culture/trending-china/article/3363362/chinese-virtual-actress-trending-ai-drama-raises-deep-industry-concerns-and-questions,Chinese virtual actress in trending AI drama raises deep industry concerns and questions,"Unlike typical strong drama heroines, Fang is vulnerable, compromises; netizens widely resonate with this portrayal of an ordinary girl.",https://cdn.i-scmp.com/sites/default/files/styles/1200x800/public/d8/images/canvas/2026/08/08/f9dd54d8-e62d-48e0-98a1-5700d4f3401e_36e2e047.jpg?itok=OjKDHnHr&v=1786119923,2026-08-08 16:00:07
qbitai_news|468631,qbitai_news,https://www.qbitai.com/2026/08/468631.html,奥特曼的ChatGPT育儿大法，捅了马蜂窝,这就有些尴尬了。,https://www.qbitai.com/wp-content/uploads/2026/08/635f00f48f60dcdf319ceec8f421177c.jpeg,2026-08-08 15:57:35
qbitai_news|468555,qbitai_news,https://www.qbitai.com/2026/08/468555.html,中国NeoLab时刻：EverMind用3篇论文，交出全栈自进化首份答卷,海外团队纷纷下注，NeoLab浪潮狂飙,https://www.qbitai.com/wp-content/uploads/2026/08/6f1864af701e645f41df0eb6dec4778a.png,2026-08-08 15:56:09
qbitai_news|468498,qbitai_news,https://www.qbitai.com/2026/08/468498.html,Jeff Dean创业BP曝光，杨植麟也在上面！硅谷VC抢破头送钱,「我，Jeff Dean，打钱」,https://www.qbitai.com/wp-content/uploads/2026/08/1dc9a3a154104fbaa698dc8dfccba84f.webp,2026-08-08 15:51:53
x_tweets|2085995879966921177,x_tweets,https://x.com/swyx/status/2085995879966921177,"$10,000 kill my saas in a weekend competition is live! TECH STACK: any coding agent any model up to $500 in token spend incl subscriptions see luma for description. join waitlist if late to this - finish line extended to Wednesday. the brief is live and people are prompting their clankers already. get to it!!!",,https://pbs.twimg.com/media/HPLw3_gbkAAwe47.jpg,2026-08-08 15:45:48
x_tweets|2085990701305880992,x_tweets,https://x.com/swyx/status/2085990701305880992,live now! see luma/check/calendar for discord/briefing/rules https://t.co/vMrpoI52aP,,https://pbs.twimg.com/media/HPLta5hbYAAgDB2.jpg,2026-08-08 15:25:13
x_tweets|2085959331795865913,x_tweets,https://x.com/petergyang/status/2085959331795865913,RT @petergyang: /human-review now has 500+ GitHub stars! I used it all day yesterday to edit some HTML and made a few improvements. Now yo…,,,2026-08-08 13:20:34
qbitai_news|468462,qbitai_news,https://www.qbitai.com/2026/08/468462.html,都学坏了！奥特曼亲手封锁最强模型Astra，重蹈Mythos覆辙,唉，赶紧整完快点发布吧。。。,https://www.qbitai.com/wp-content/uploads/2026/08/90c5b74b300a10bf7aca983fa55a199f.png,2026-08-08 12:33:53
x_tweets|2085941941389164546,x_tweets,https://x.com/sama/status/2085941941389164546,RT @Logo_Daedalus: Made a boomer crash out by explaining that taxes do not fund the government but actually just get erased from circulatio…,,,2026-08-08 12:11:28
wscn_news|3778990,wscn_news,https://wallstreetcn.com/articles/3778990,"AI应用公司毛利故事遭遇首次""体检""：Canva主动降速、Figma自吞推理成本",Canva与Figma的遭遇揭示了AI应用公司的普遍困境：高昂的推理成本正严重侵蚀毛利，破坏单位经济模型。为控成本，Canva主动暂缓AI铺开致营收降速；Figma因免费测试自担成本致股价重挫。两者均寄望自研模型破局，但AI盈利路径仍待时间验证。,https://wpimg-wscn.awtmt.com/cb1922f9-3371-47b0-ace2-587c8dd88ec8.png,2026-08-08 12:07:53
x_tweets|2085940679750865075,x_tweets,https://x.com/sama/status/2085940679750865075,RT @yellowpackjim: The replies were by and large unhinged as well. One was about trying to have them removed from the plane. Kids. Removed…,,,2026-08-08 12:06:27
x_tweets|2085940620762226942,x_tweets,https://x.com/sama/status/2085940620762226942,RT @yellowpackjim: Was on a flight yesterday and just before we took off I noticed the woman beside me was messaging a WhatsApp group a com…,,,2026-08-08 12:06:13
kr36_news|3930343633141121,kr36_news,https://36kr.com/p/3930343633141121,Cursor，即将彻底消失？,600 亿美元买断了一家公司，也买断了 AI 应用层最后一点独立的样子。,"https://img.36krcdn.com/hsossms/20260808/v2_62208ddf092a4b0b887289e98493c238@000000_oswg142638oswg1280oswg543_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-08-08 11:55:43
pingwest_news|316292,pingwest_news,https://www.pingwest.com/w/316292,纳米大片流水线首发上线 Seedance 2.5，0.27元秒特惠，AI 影视创作进入“30s视频直出”时代,,https://cdn.pingwest.com/portal/2026/08/08/portal/2026/08/08/rr2_JrPks8bHRSQC8Sb85A1ZT0xbE8A7,2026-08-08 11:51:52
x_tweets|2085936351342666175,x_tweets,https://x.com/rauchg/status/2085936351342666175,Fun day at ▲. Excited to go home and deploy to ▲,,,2026-08-08 11:49:15
wscn_news|3778988,wscn_news,https://wallstreetcn.com/articles/3778988,英伟达盯上OpenAI“星际之门”背后的电力商，30亿美元直接入股,"据报道，英伟达计划向电力基础设施商Lancium投资最高30亿美元（初始20亿美元获约20%股权，追加后升至约30%），后者是OpenAI""星际之门""AI园区的电力供应商，已在德克萨斯锁定4吉瓦电力资源。",https://wpimg-wscn.awtmt.com/9c8bc89f-c6bd-486b-b717-810ce52ad2f7.png,2026-08-08 11:32:42
kr36_news|3930290495510401,kr36_news,https://36kr.com/p/3930290495510401,谷歌AI，杯酒释兵权,一场没有输家的清洗，天才退场，经理人登顶。,"https://img.36krcdn.com/hsossms/20260808/v2_9269d2f6a33f4017854c6194941bc47b@6100851_oswg950007oswg1053oswg495_img_png?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-08-08 11:23:57
x_tweets|2085924672604922059,x_tweets,https://x.com/sama/status/2085924672604922059,RT @MadKamikazius: This is why any game's modding scene turns to shit once paid mods become a thing.,,,2026-08-08 11:02:51
